legal_term,plain_english
"hereinafter","from now on"
"aforementioned","previously mentioned"
"pursuant to","according to"
"notwithstanding","despite"
"hereby","by this document"
"therein","in that place"
"forthwith","immediately"
"whereas","since"
"inter alia","among other things"
"mutatis mutandis","with necessary changes"
"ab initio","from the beginning"
"force majeure","unforeseeable circumstances"
"quantum meruit","reasonable payment"
"bona fide","in good faith"
"prima facie","at first sight"
"sui generis","unique"
"in lieu of","instead of"
"pro rata","proportionally"
"per se","by itself"
"de facto","in fact"
"de jure","by law"
"sine qua non","essential condition"
"ex parte","from one side only"
"ultra vires","beyond the powers"
"caveat emptor","buyer beware"
"estoppel","prevented from denying"
"indemnify","compensate"
"liquidated damages","fixed compensation"
"rescind","cancel"
"tort","civil wrong"
"shall","must"
"hereof","of this"
"thereto","to that"
"hereunder","under this document"
"thereunder","under that"
"heretofore","before this"
"thereof","of that"
"herewith","with this"
"therewith","with that"
"herein","in this document"
"null and void","invalid"
"without prejudice","without losing rights"
"in witness whereof","as proof"
"witnesseth","this agreement shows"
"in perpetuity","forever"
"The party of the first part","The first person named"
"The party of the second part","The second person named"
"said premises","the property"
"deemed to be","considered to be"
"for the avoidance of doubt","to be clear"
"inclusive of but not limited to","including"
"remedies herein","solutions in this document"
"set forth herein","stated in this document"
"as per","according to"
"subsequent to","after"
"prior to","before"
"subject to the provisions of","under"
"inasmuch as","because"
"in the event that","if"
"in accordance with","according to"
"furnish","provide"
"in respect of","about"
"for the purpose of","to"
"in connection with","about"
"effectuate","make happen"
"endeavor","try"
"terminate","end"
"utilize","use"
"remuneration","payment"
"obligation","requirement"
"covenant","promise"
"warrant","guarantee"
"representation","statement"
"authority","power"
"liability","responsibility"
"adjudicate","decide"
"render","give"
"depose","testify"
"interrogatory","written question"
"deposition","sworn testimony"
"affidavit","written statement"
"pleading","formal document"
"default judgment","decision when one party doesn't respond"
"abatement","reduction"
"abeyance","suspended state"
"actionable","giving reason for a lawsuit"
"adjudication","court decision"
"breach","violation"
"consideration","something of value"
"defamation","damage to reputation"
"deposition","formal testimony"
"executed","signed"
"fiduciary","trustee"
"force majeure","uncontrollable event"
"injunction","court order"
"jurisdiction","legal authority"
"liability","legal responsibility"
"material breach","important violation"
"negligence","failure to take proper care"
"prevailing party","winner in court"
"statute of limitations","time limit"
"venue","location"
"waiver","giving up rights"
