text,risk_type,risk_level
"This Agreement shall automatically renew for successive one (1) year periods unless either party provides written notice of non-renewal at least ninety (90) days prior to the end of the then-current term.",auto_renewal,high
"Upon expiration of the initial term, this Agreement shall automatically renew for additional one-year terms unless terminated in writing by either party at least 60 days prior to the end of the then-current term.",auto_renewal,high
"The service will continue on a month-to-month basis after the initial term and will automatically renew unless canceled.",auto_renewal,medium
"This contract shall be automatically extended for a further period of one year if neither party gives notice of termination.",auto_renewal,medium
"The Company reserves the right, at its sole discretion, to modify or replace any of these Terms at any time without prior notice.",unilateral_changes,high
"Provider may modify any of the terms and conditions contained in this Agreement at any time in its sole discretion.",unilateral_changes,high
"We reserve the right to modify the services, fees, and terms at any time with or without notice.",unilateral_changes,medium
"The Company may, in its sole discretion, change the terms of this Agreement from time to time.",unilateral_changes,medium
"Customer may not terminate this Agreement for convenience during the initial term. Early termination will result in payment of all remaining fees for the entire term.",termination_restrictions,high
"If Client terminates this Agreement prior to the end of the term, Client shall pay a termination fee equal to 75% of the remaining contract value.",termination_restrictions,high
"This Agreement may only be terminated for material breach that remains uncured after 30 days written notice.",termination_restrictions,medium
"A notice period of 90 days is required for termination of this Agreement by either party.",termination_restrictions,low
"In no event shall Company's total liability exceed the amount paid by Client in the twelve (12) months preceding the claim.",liability_limitations,high
"The Company shall not be liable for any indirect, incidental, special, consequential, or punitive damages.",liability_limitations,high
"Under no circumstances will the total liability of either party exceed the fees paid under this Agreement.",liability_limitations,medium
"Company's liability is limited to direct damages up to the amount paid for the services.",liability_limitations,medium
"Client shall indemnify, defend, and hold harmless Provider from and against any and all claims, damages, liabilities, costs, and expenses (including reasonable attorneys' fees) arising out of or related to Client's use of the Services.",indemnification,high
"Customer agrees to indemnify and hold harmless the Company from any claim, demand, or damage arising out of Customer's use of the service or violation of this agreement.",indemnification,high
"Each party shall indemnify the other for claims arising from breach of this Agreement.",indemnification,medium
"Customer will indemnify Company against third-party claims resulting from Customer's use of the service.",indemnification,medium
"This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without giving effect to any choice of law or conflict of law provisions.",jurisdiction,medium
"Any disputes arising under this Agreement shall be resolved exclusively in the courts located in New York County, New York.",jurisdiction,medium
"This Agreement is governed by the laws of Singapore. Any dispute shall be referred to and finally resolved by arbitration in Singapore.",jurisdiction,high
"Any legal action arising out of this Agreement must be filed in the federal courts located in San Francisco, California.",jurisdiction,high
"All confidential information shall remain the sole property of the disclosing party and shall be kept confidential by the receiving party for a period of five (5) years following the termination of this Agreement.",confidentiality,medium
"Recipient agrees not to disclose Confidential Information to any third party and to protect it with the same degree of care as its own confidential information.",confidentiality,low
"Each party shall maintain the confidentiality of all information disclosed by the other party in perpetuity.",confidentiality,high
"All information shared under this Agreement shall be considered confidential and may not be shared with any third party without prior written consent.",confidentiality,medium
"Payment is due within 30 days of invoice date. Late payments will incur interest at a rate of 1.5% per month.",payment_terms,medium
"Customer shall pay all undisputed invoices within fifteen (15) days of receipt. Past due amounts will bear interest at the lesser of 18% per annum or the maximum rate allowed by law.",payment_terms,medium
"If any payment is not made when due, Provider may suspend services until payment is received.",payment_terms,high
"Invoices are payable immediately upon receipt. A late fee of 2% per month will be charged on all overdue balances.",payment_terms,high
"All intellectual property rights in the services, including any modifications or improvements, shall be owned exclusively by Provider.",ip_rights,high
"Any ideas, suggestions, or feedback provided by Customer regarding the services shall become the property of the Company.",ip_rights,high
"Each party retains all rights in its pre-existing intellectual property. Jointly developed IP shall be owned by Provider.",ip_rights,medium
"Customer grants Company a worldwide, royalty-free license to use any content provided by Customer.",ip_rights,medium
"Provider will use commercially reasonable efforts to ensure the availability of the services.",vague_terms,medium
"Customer agrees to use best efforts to comply with all applicable laws and regulations.",vague_terms,medium
"A material breach of this Agreement shall entitle the non-breaching party to terminate.",vague_terms,high
"Company will take appropriate measures to protect Customer data.",vague_terms,high
